Date,Source,Contact,Contact Group,Description,Description_Clean,Category,Match_Score,Matched_Rule,Auto_Approved,Suggestion_1,Suggestion_2,Suggestion_3
06 Oct 2022,Spend Money,Citycab,,Citycab,citycab,Travelling,100.0,citycab,True,,,
06 Oct 2022,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
06 Oct 2022,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
06 Oct 2022,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
06 Oct 2022,Spend Money,Trainline.com,,Trainline.com,trainlinecom,Travelling,100.0,trainlinecom,True,,,
07 Oct 2022,Spend Money,Ubitricity,,Ubitricity,ubitricity,Travelling,100.0,ubitricity,True,,,
11 Oct 2022,Spend Money,The Travel Company - BCD Travel,,The Travel Company - BCD Travel,the travel company bcd travel,Travelling,100.0,the travel company bcd travel,True,,,
13 Oct 2022,Spend Money,TFL,,TFL,tfl,Travelling,100.0,tfl,True,,,
13 Oct 2022,Spend Money,East Midlands Railway,,East Midlands Railway,east midlands railway,Travelling,100.0,east midlands railway,True,,,
13 Oct 2022,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
13 Oct 2022,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
17 Oct 2022,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
17 Oct 2022,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
18 Oct 2022,Spend Money,Ubitricity,,Ubitricity,ubitricity,Travelling,100.0,ubitricity,True,,,
18 Oct 2022,Spend Money,Railcard.co.uk,,Railcard.co.uk,railcardcouk,Travelling,100.0,railcardcouk,True,,,
28 Oct 2022,Spend Money,TFL,,TFL,tfl,Travelling,100.0,tfl,True,,,
31 Oct 2022,Spend Money,EVCharge,,EVCharge,evcharge,Travelling,100.0,evcharge,True,,,
01 Nov 2022,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
03 Nov 2022,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
03 Nov 2022,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
06 Nov 2022,Spend Money,TFL London,,TFL London,tfl london,Travelling,100.0,tfl london,True,,,
07 Nov 2022,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
07 Nov 2022,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
09 Nov 2022,Spend Money,NYC Taxi,,NYC Taxi,nyc taxi,Travelling,100.0,nyc taxi,True,,,
09 Nov 2022,Spend Money,CMT UK Ltd,,CMT UK Ltd,cmt uk ltd,Travelling,100.0,cmt uk ltd,True,,,
17 Nov 2022,Spend Money,Eurostar,,Eurostar,eurostar,Travelling,100.0,eurostar,True,,,
18 Nov 2022,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
20 Nov 2022,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
21 Nov 2022,Spend Money,Taxi,,Taxi,taxi,Travelling,100.0,taxi,True,,,
22 Nov 2022,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
22 Nov 2022,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
23 Nov 2022,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
24 Nov 2022,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
24 Nov 2022,Spend Money,Booking.com,,Booking.com,bookingcom,Travelling,100.0,bookingcom,True,,,
24 Nov 2022,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
25 Nov 2022,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
28 Nov 2022,Spend Money,Ubitricity,,Ubitricity,ubitricity,Travelling,100.0,ubitricity,True,,,
28 Nov 2022,Spend Money,Ubitricity,,Ubitricity,ubitricity,Travelling,100.0,ubitricity,True,,,
30 Nov 2022,Spend Money,Journey to the Centre,,Journey to the Centre,journey to the centre,Travelling,100.0,journey to the centre,True,,,
01 Dec 2022,Spend Money,PPL Riverside C. Park,,PPL Riverside C. Park,ppl riverside c park,Travelling,100.0,ppl riverside c park,True,,,
